CarID,Symboling,CarName,FuelType,Aspiration,CarBody,WheelBase,CarWidth,CurbWeight,CylinderNumber,HorsePower,Citympg,Price
1,3,alfa-romero giulia,gas,std,convertible,88.6,64.1,2548,four,111,21,13495
2,3,alfa-romero stelvio,gas,std,convertible,88.6,64.1,2548,four,111,21,16500
3,1,alfa-romero Quadrifoglio,gas,std,hatchback,94.5,65.5,2823,six,154,19,16500
4,2,audi 100 ls,gas,std,sedan,99.8,66.2,2337,four,102,24,13950
5,2,audi 100ls,gas,std,sedan,99.4,66.4,2824,five,115,18,17450
6,2,audi fox,gas,std,sedan,99.8,66.3,2507,five,110,19,15250
7,1,audi 100ls,gas,std,sedan,105.8,71.4,2844,five,110,19,17710
8,1,audi 5000,gas,std,wagon,105.8,71.4,2954,five,110,19,18920
9,1,audi 4000,gas,turbo,sedan,105.8,71.4,3086,five,140,17,23875
10,0,audi 5000s (diesel),gas,turbo,hatchback,99.5,67.9,3053,five,160,16,17859.167
11,2,bmw 320i,gas,std,sedan,101.2,64.8,2395,four,101,23,16430
12,0,bmw 320i,gas,std,sedan,101.2,64.8,2395,four,101,23,16925
13,0,bmw x1,gas,std,sedan,101.2,64.8,2710,six,121,21,20970
14,0,bmw x3,gas,std,sedan,101.2,64.8,2765,six,121,21,21105
15,1,bmw z4,gas,std,sedan,103.5,66.9,3055,six,121,20,24565
16,0,bmw x4,gas,std,sedan,103.5,66.9,3230,six,182,16,30760
17,0,bmw x5,gas,std,sedan,103.5,67.9,3380,six,182,16,41315
18,0,bmw x3,gas,std,sedan,110,70.9,3505,six,182,15,36880
19,2,chevrolet impala,gas,std,hatchback,88.4,60.3,1488,three,48,47,5151
20,1,chevrolet monte carlo,gas,std,hatchback,94.5,63.6,1874,four,70,38,6295
21,0,chevrolet vega 2300,gas,std,sedan,94.5,63.6,1909,four,70,38,6575
22,1,dodge rampage,gas,std,hatchback,93.7,63.8,1876,four,68,37,5572
23,1,dodge challenger se,gas,std,hatchback,93.7,63.8,1876,four,68,31,6377
24,1,dodge d200,gas,turbo,hatchback,93.7,63.8,2128,four,102,24,7957
25,1,dodge monaco (sw),gas,std,hatchback,93.7,63.8,1967,four,68,31,6229
26,1,dodge colt hardtop,gas,std,sedan,93.7,63.8,1989,four,68,31,6692
27,1,dodge colt (sw),gas,std,sedan,93.7,63.8,1989,four,68,31,7609
28,1,dodge coronet custom,gas,turbo,sedan,93.7,63.8,2191,four,102,24,8558
29,-1,dodge dart custom,gas,std,wagon,103.3,64.6,2535,four,88,24,8921
30,3,dodge coronet custom (sw),gas,turbo,hatchback,95.9,66.3,2811,four,145,19,12964
31,2,honda civic,gas,std,hatchback,86.6,63.9,1713,four,58,49,6479
32,2,honda civic cvcc,gas,std,hatchback,86.6,63.9,1819,four,76,31,6855
33,1,honda civic,gas,std,hatchback,93.7,64,1837,four,60,38,5399
34,1,honda accord cvcc,gas,std,hatchback,93.7,64,1940,four,76,30,6529
35,1,honda civic cvcc,gas,std,hatchback,93.7,64,1956,four,76,30,7129
36,0,honda accord lx,gas,std,sedan,96.5,64,2010,four,76,30,7295
37,0,honda civic 1500 gl,gas,std,wagon,96.5,63.9,2024,four,76,30,7295
38,0,honda accord,gas,std,hatchback,96.5,65.2,2236,four,86,27,7895
39,0,honda civic 1300,gas,std,hatchback,96.5,65.2,2289,four,86,27,9095
40,0,honda prelude,gas,std,sedan,96.5,65.2,2304,four,86,27,8845
41,0,honda accord,gas,std,sedan,96.5,62.5,2372,four,86,27,10295
42,0,honda civic,gas,std,sedan,96.5,65.2,2465,four,101,24,12945
43,1,honda civic (auto),gas,std,sedan,96.5,66,2293,four,100,25,10345
44,0,isuzu MU-X,gas,std,sedan,94.3,61.8,2337,four,78,24,6785
45,1,isuzu D-Max ,gas,std,sedan,94.5,63.6,1874,four,70,38,8916.5
46,0,isuzu D-Max V-Cross,gas,std,sedan,94.5,63.6,1909,four,70,38,8916.5
47,2,isuzu D-Max ,gas,std,hatchback,96,65.2,2734,four,90,24,11048
48,0,jaguar xj,gas,std,sedan,113,69.6,4066,six,176,15,32250
49,0,jaguar xf,gas,std,sedan,113,69.6,4066,six,176,15,35550
50,0,jaguar xk,gas,std,sedan,102,70.6,3950,twelve,262,13,36000
51,1,maxda rx3,gas,std,hatchback,93.1,64.2,1890,four,68,30,5195
52,1,maxda glc deluxe,gas,std,hatchback,93.1,64.2,1900,four,68,31,6095
53,1,mazda rx2 coupe,gas,std,hatchback,93.1,64.2,1905,four,68,31,6795
54,1,mazda rx-4,gas,std,sedan,93.1,64.2,1945,four,68,31,6695
55,1,mazda glc deluxe,gas,std,sedan,93.1,64.2,1950,four,68,31,7395
56,3,mazda 626,gas,std,hatchback,95.3,65.7,2380,two,101,17,10945
57,3,mazda glc,gas,std,hatchback,95.3,65.7,2380,two,101,17,11845
58,3,mazda rx-7 gs,gas,std,hatchback,95.3,65.7,2385,two,101,17,13645
59,3,mazda glc 4,gas,std,hatchback,95.3,65.7,2500,two,135,16,15645
60,1,mazda 626,gas,std,hatchback,98.8,66.5,2385,four,84,26,8845
61,0,mazda glc custom l,gas,std,sedan,98.8,66.5,2410,four,84,26,8495
62,1,mazda glc custom,gas,std,hatchback,98.8,66.5,2385,four,84,26,10595
63,0,mazda rx-4,gas,std,sedan,98.8,66.5,2410,four,84,26,10245
64,0,mazda glc deluxe,diesel,std,sedan,98.8,66.5,2443,four,64,36,10795
65,0,mazda 626,gas,std,hatchback,98.8,66.5,2425,four,84,26,11245
66,0,mazda glc,gas,std,sedan,104.9,66.1,2670,four,120,19,18280
67,0,mazda rx-7 gs,diesel,std,sedan,104.9,66.1,2700,four,72,31,18344
68,-1,buick electra 225 custom,diesel,turbo,sedan,110,70.3,3515,five,123,22,25552
69,-1,buick century luxus (sw),diesel,turbo,wagon,110,70.3,3750,five,123,22,28248
70,0,buick century,diesel,turbo,hardtop,106.7,70.3,3495,five,123,22,28176
71,-1,buick skyhawk,diesel,turbo,sedan,115.6,71.7,3770,five,123,22,31600
72,-1,buick opel isuzu deluxe,gas,std,sedan,115.6,71.7,3740,eight,155,16,34184
73,3,buick skylark,gas,std,convertible,96.6,70.5,3685,eight,155,16,35056
74,0,buick century special,gas,std,sedan,120.9,71.7,3900,eight,184,14,40960
75,1,buick regal sport coupe (turbo),gas,std,hardtop,112,72,3715,eight,184,14,45400
76,1,mercury cougar,gas,turbo,hatchback,102.7,68,2910,four,175,19,16503
77,2,mitsubishi mirage,gas,std,hatchback,93.7,64.4,1918,four,68,37,5389
78,2,mitsubishi lancer,gas,std,hatchback,93.7,64.4,1944,four,68,31,6189
79,2,mitsubishi outlander,gas,std,hatchback,93.7,64.4,2004,four,68,31,6669
80,1,mitsubishi g4,gas,turbo,hatchback,93,63.8,2145,four,102,24,7689
81,3,mitsubishi mirage g4,gas,turbo,hatchback,96.3,65.4,2370,four,116,23,9959
82,3,mitsubishi g4,gas,std,hatchback,96.3,65.4,2328,four,88,25,8499
83,3,mitsubishi outlander,gas,turbo,hatchback,95.9,66.3,2833,four,145,19,12629
84,3,mitsubishi g4,gas,turbo,hatchback,95.9,66.3,2921,four,145,19,14869
85,3,mitsubishi mirage g4,gas,turbo,hatchback,95.9,66.3,2926,four,145,19,14489
86,1,mitsubishi montero,gas,std,sedan,96.3,65.4,2365,four,88,25,6989
87,1,mitsubishi pajero,gas,std,sedan,96.3,65.4,2405,four,88,25,8189
88,1,mitsubishi outlander,gas,turbo,sedan,96.3,65.4,2403,four,116,23,9279
89,-1,mitsubishi mirage g4,gas,std,sedan,96.3,65.4,2403,four,116,23,9279
90,1,Nissan versa,gas,std,sedan,94.5,63.8,1889,four,69,31,5499
91,1,nissan gt-r,diesel,std,sedan,94.5,63.8,2017,four,55,45,7099
92,1,nissan rogue,gas,std,sedan,94.5,63.8,1918,four,69,31,6649
93,1,nissan latio,gas,std,sedan,94.5,63.8,1938,four,69,31,6849
94,1,nissan titan,gas,std,wagon,94.5,63.8,2024,four,69,31,7349
95,1,nissan leaf,gas,std,sedan,94.5,63.8,1951,four,69,31,7299
96,1,nissan juke,gas,std,hatchback,94.5,63.8,2028,four,69,31,7799
97,1,nissan latio,gas,std,sedan,94.5,63.8,1971,four,69,31,7499
98,1,nissan note,gas,std,wagon,94.5,63.8,2037,four,69,31,7999
99,2,nissan clipper,gas,std,hardtop,95.1,63.8,2008,four,69,31,8249
100,0,nissan rogue,gas,std,hatchback,97.2,65.2,2324,four,97,27,8949
101,0,nissan nv200,gas,std,sedan,97.2,65.2,2302,four,97,27,9549
102,0,nissan dayz,gas,std,sedan,100.4,66.5,3095,six,152,17,13499
103,0,nissan fuga,gas,std,wagon,100.4,66.5,3296,six,152,17,14399
104,0,nissan otti,gas,std,sedan,100.4,66.5,3060,six,152,19,13499
105,3,nissan teana,gas,std,hatchback,91.3,67.9,3071,six,160,19,17199
106,3,nissan kicks,gas,turbo,hatchback,91.3,67.9,3139,six,200,17,19699
107,1,nissan clipper,gas,std,hatchback,99.2,67.9,3139,six,160,19,18399
108,0,peugeot 504,gas,std,sedan,107.9,68.4,3020,four,97,19,11900
109,0,peugeot 304,diesel,turbo,sedan,107.9,68.4,3197,four,95,28,13200
110,0,peugeot 504 (sw),gas,std,wagon,114.2,68.4,3230,four,97,19,12440
111,0,peugeot 504,diesel,turbo,wagon,114.2,68.4,3430,four,95,25,13860
112,0,peugeot 504,gas,std,sedan,107.9,68.4,3075,four,95,19,15580
113,0,peugeot 604sl,diesel,turbo,sedan,107.9,68.4,3252,four,95,28,16900
114,0,peugeot 504,gas,std,wagon,114.2,68.4,3285,four,95,19,16695
115,0,peugeot 505s turbo diesel,diesel,turbo,wagon,114.2,68.4,3485,four,95,25,17075
116,0,peugeot 504,gas,std,sedan,107.9,68.4,3075,four,97,19,16630
117,0,peugeot 504,diesel,turbo,sedan,107.9,68.4,3252,four,95,28,17950
118,0,peugeot 604sl,gas,turbo,sedan,108,68.3,3130,four,142,18,18150
119,1,plymouth fury iii,gas,std,hatchback,93.7,63.8,1918,four,68,37,5572
120,1,plymouth cricket,gas,turbo,hatchback,93.7,63.8,2128,four,102,24,7957
121,1,plymouth fury iii,gas,std,hatchback,93.7,63.8,1967,four,68,31,6229
122,1,plymouth satellite custom (sw),gas,std,sedan,93.7,63.8,1989,four,68,31,6692
123,1,plymouth fury gran sedan,gas,std,sedan,93.7,63.8,2191,four,68,31,7609
124,-1,plymouth valiant,gas,std,wagon,103.3,64.6,2535,four,88,24,8921
125,3,plymouth duster,gas,turbo,hatchback,95.9,66.3,2818,four,145,19,12764
126,3,porsche macan,gas,std,hatchback,94.5,68.3,2778,four,143,19,22018
127,3,porcshce panamera,gas,std,hardtop,89.5,65,2756,six,207,17,32528
128,3,porsche cayenne,gas,std,hardtop,89.5,65,2756,six,207,17,34028
129,3,porsche boxter,gas,std,convertible,89.5,65,2800,six,207,17,37028
130,1,porsche cayenne,gas,std,hatchback,98.4,72.3,3366,eight,288,17,31400.5
131,0,renault 12tl,gas,std,wagon,96.1,66.5,2579,four,90,23,9295
132,2,renault 5 gtl,gas,std,hatchback,96.1,66.6,2460,four,90,23,9895
133,3,saab 99e,gas,std,hatchback,99.1,66.5,2658,four,110,21,11850
134,2,saab 99le,gas,std,sedan,99.1,66.5,2695,four,110,21,12170
135,3,saab 99le,gas,std,hatchback,99.1,66.5,2707,four,110,21,15040
136,2,saab 99gle,gas,std,sedan,99.1,66.5,2758,four,110,21,15510
137,3,saab 99gle,gas,turbo,hatchback,99.1,66.5,2808,four,160,19,18150
138,2,saab 99e,gas,turbo,sedan,99.1,66.5,2847,four,160,19,18620
139,2,subaru,gas,std,hatchback,93.7,63.4,2050,four,69,31,5118
140,2,subaru dl,gas,std,hatchback,93.7,63.6,2120,four,73,26,7053
141,2,subaru dl,gas,std,hatchback,93.3,63.8,2240,four,73,26,7603
142,0,subaru,gas,std,sedan,97.2,65.4,2145,four,82,32,7126
143,0,subaru brz,gas,std,sedan,97.2,65.4,2190,four,82,28,7775
144,0,subaru baja,gas,std,sedan,97.2,65.4,2340,four,94,26,9960
145,0,subaru r1,gas,std,sedan,97,65.4,2385,four,82,24,9233
146,0,subaru r2,gas,turbo,sedan,97,65.4,2510,four,111,24,11259
147,0,subaru trezia,gas,std,wagon,97,65.4,2290,four,82,28,7463
148,0,subaru tribeca,gas,std,wagon,97,65.4,2455,four,94,25,10198
149,0,subaru dl,gas,std,wagon,96.9,65.4,2420,four,82,23,8013
150,0,subaru dl,gas,turbo,wagon,96.9,65.4,2650,four,111,23,11694
151,1,toyota corona mark ii,gas,std,hatchback,95.7,63.6,1985,four,62,35,5348
152,1,toyota corona,gas,std,hatchback,95.7,63.6,2040,four,62,31,6338
153,1,toyota corolla 1200,gas,std,hatchback,95.7,63.6,2015,four,62,31,6488
154,0,toyota corona hardtop,gas,std,wagon,95.7,63.6,2280,four,62,31,6918
155,0,toyota corolla 1600 (sw),gas,std,wagon,95.7,63.6,2290,four,62,27,7898
156,0,toyota carina,gas,std,wagon,95.7,63.6,3110,four,62,27,8778
157,0,toyota mark ii,gas,std,sedan,95.7,64.4,2081,four,70,30,6938
158,0,toyota corolla 1200,gas,std,hatchback,95.7,64.4,2109,four,70,30,7198
159,0,toyota corona,diesel,std,sedan,95.7,64.4,2275,four,56,34,7898
160,0,toyota corolla,diesel,std,hatchback,95.7,64.4,2275,four,56,38,7788
161,0,toyota corona,gas,std,sedan,95.7,64.4,2094,four,70,38,7738
162,0,toyota corolla,gas,std,hatchback,95.7,64.4,2122,four,70,28,8358
163,0,toyota mark ii,gas,std,sedan,95.7,64.4,2140,four,70,28,9258
164,1,toyota corolla liftback,gas,std,sedan,94.5,64,2169,four,70,29,8058
165,1,toyota corona,gas,std,hatchback,94.5,64,2204,four,70,29,8238
166,1,toyota celica gt liftback,gas,std,sedan,94.5,64,2265,four,112,26,9298
167,1,toyota corolla tercel,gas,std,hatchback,94.5,64,2300,four,112,26,9538
168,2,toyota corona liftback,gas,std,hardtop,98.4,65.6,2540,four,116,24,8449
169,2,toyota corolla,gas,std,hardtop,98.4,65.6,2536,four,116,24,9639
170,2,toyota starlet,gas,std,hatchback,98.4,65.6,2551,four,116,24,9989
171,2,toyota tercel,gas,std,hardtop,98.4,65.6,2679,four,116,24,11199
172,2,toyota corolla,gas,std,hatchback,98.4,65.6,2714,four,116,24,11549
173,2,toyota cressida,gas,std,convertible,98.4,65.6,2975,four,116,24,17669
174,-1,toyota corolla,gas,std,sedan,102.4,66.5,2326,four,92,29,8948
175,-1,toyota celica gt,diesel,turbo,sedan,102.4,66.5,2480,four,73,30,10698
176,-1,toyota corona,gas,std,hatchback,102.4,66.5,2414,four,92,27,9988
177,-1,toyota corolla,gas,std,sedan,102.4,66.5,2414,four,92,27,10898
178,-1,toyota mark ii,gas,std,hatchback,102.4,66.5,2458,four,92,27,11248
179,3,toyota corolla liftback,gas,std,hatchback,102.9,67.7,2976,six,161,20,16558
180,3,toyota corona,gas,std,hatchback,102.9,67.7,3016,six,161,19,15998
181,-1,toyota starlet,gas,std,sedan,104.5,66.5,3131,six,156,20,15690
182,-1,toyouta tercel,gas,std,wagon,104.5,66.5,3151,six,156,19,15750
183,2,vokswagen rabbit,diesel,std,sedan,97.3,65.5,2261,four,52,37,7775
184,2,volkswagen 1131 deluxe sedan,gas,std,sedan,97.3,65.5,2209,four,85,27,7975
185,2,volkswagen model 111,diesel,std,sedan,97.3,65.5,2264,four,52,37,7995
186,2,volkswagen type 3,gas,std,sedan,97.3,65.5,2212,four,85,27,8195
187,2,volkswagen 411 (sw),gas,std,sedan,97.3,65.5,2275,four,85,27,8495
188,2,volkswagen super beetle,diesel,turbo,sedan,97.3,65.5,2319,four,68,37,9495
189,2,volkswagen dasher,gas,std,sedan,97.3,65.5,2300,four,100,26,9995
190,3,vw dasher,gas,std,convertible,94.5,64.2,2254,four,90,24,11595
191,3,vw rabbit,gas,std,hatchback,94.5,64,2221,four,90,24,9980
192,0,volkswagen rabbit,gas,std,sedan,100.4,66.9,2661,five,110,19,13295
193,0,volkswagen rabbit custom,diesel,turbo,sedan,100.4,66.9,2579,four,68,33,13845
194,0,volkswagen dasher,gas,std,wagon,100.4,66.9,2563,four,88,25,12290
195,-2,volvo 145e (sw),gas,std,sedan,104.3,67.2,2912,four,114,23,12940
196,-1,volvo 144ea,gas,std,wagon,104.3,67.2,3034,four,114,23,13415
197,-2,volvo 244dl,gas,std,sedan,104.3,67.2,2935,four,114,24,15985
198,-1,volvo 245,gas,std,wagon,104.3,67.2,3042,four,114,24,16515
199,-2,volvo 264gl,gas,turbo,sedan,104.3,67.2,3045,four,162,17,18420
200,-1,volvo diesel,gas,turbo,wagon,104.3,67.2,3157,four,162,17,18950
201,-1,volvo 145e (sw),gas,std,sedan,109.1,68.9,2952,four,114,23,16845
202,-1,volvo 144ea,gas,turbo,sedan,109.1,68.8,3049,four,160,19,19045
203,-1,volvo 244dl,gas,std,sedan,109.1,68.9,3012,six,134,18,21485
204,-1,volvo 246,diesel,turbo,sedan,109.1,68.9,3217,six,106,26,22470
205,-1,volvo 264gl,gas,turbo,sedan,109.1,68.9,3062,four,114,19,22625
